LIA_NUM,DATE,APE_SICORE,LIB_SICORE,EVT_SICORE,AUTO,NAT_SICORE,SURF
J00010046126,2022-04-12 11:32:22,6831Z,AGENT COMMERCIAL EN IMMOBILIER  SERVICE TRANSACTION ,01P,R,,
J00010032340,2022-04-06 09:52:15,9001Z,PRODUCTION ET VENTE DE SPECTACLES DE JONGLAGE ET ARTS DE RUE DONT JE SUIS L ARTISTE PRINCIPAL ,01P,C,99,
J00010024719,2022-03-31 03:35:05,8690F,PSYCHOLOGUE CLINICIENNE ET PSYCHOTHERAPEUTE,05P,L,,
J00010046860,2022-04-12 19:36:27,9609Z,COACHING A DOMICILE  EN LIEU PUBLIC  AU SEIN D ASSOCIATION OU ETABLISSEMENT,01P,X,,
J00010029890,2022-04-04 03:39:02,4791B,VENTE DE SITE INTERNET  CLICKFUNNEL  COMMUNITY MANAGEMENT,01P,C,99,
J00010021673,2022-03-29 19:32:36,6311Z,TRAITEMENT DE DONNEES ET CARTOGRAPHIE  PHOTOMONTAGE  PRESTATION DE DONNEES ,01P,X,,
J00010030203,2022-04-07 19:34:57,4332A,POSE DE CUISINES  PARQUETS  LAMBRIS  DRESSINGS  PLACARDS,01P,M,14,
J00010026540,2022-04-01 03:40:25,5221Z,LOCATION DE PLACE DE PARKING POUR VOYAGEURS,01P,X,,
J00010024123,2022-03-30 20:03:14,9609Z,PRESTATIONS D ACCOMPAGNEMENT VIA LE COACHING  L HYPNOSE   LA FORMATION POUR LE DEVELOPPEMENT PERSONNEL OU PRO DE TOUS PUBLICS,01P,X,,
J00010036119,2022-04-08 15:08:28,9609Z,CONCIERGERIE  PETITS TRAVAUX D ENTRETIEN  PETITS TRAVAUX DE DECORATION,01P,X,,
J00010030609,2022-04-04 19:33:20,8130Z,TAILLES ARBRES FRUITIERS ET HAIES   DEBROUSSAILLAGE   NETTOYAGE JARDINS,05P,X,,
J00010042802,2022-04-12 08:42:35,9329Z,AUTRES ACTIVITES RECREATIVES DE LOISIRS,01P,X,,
J00010032886,2022-04-05 19:32:17,7420Z,PHOTOGRAPHE   PRISE DE VUE  EDITING  PORTRAITS  EVENEMENTS    ,01P,M,99,
J00010033116,2022-04-05 19:32:25,4719B,VENTE DE PRODUITS,01P,M,99,
J00010042026,2022-04-11 11:31:27,9003B,REDACTION D ARTICLES DE PRESSE,01P,M,99,
J00010027910,2022-04-02 03:38:14,4642Z,ACHAT REVENTE DE PRET A PORTER FEMININ  ENVOIE DE COLIS EN FRANCE ET REMISES EN MAIN PROPRE DANS LA VILLE DE STRASBOURG,01P,C,99,
J00010027449,2022-04-01 19:32:20,9609Z,ANALYSE DES COMPORTEMENTS CANINS ET MISE EN PLACE DE SEANCES D EDUCATION CANINE A DOMICILE OU DANS L ESPACE PUBLIC,01P,M,99,
J00010031730,2022-04-06 08:26:44,3299Z,FABRICATION  TRESSAGE ET VENTE DE COLLIERS ET ACCESSOIRES POUR CHIENS ET CHATS A PARTIR DE MATIERES PREMIERES ,01P,M,04,
J00010047546,2022-04-12 19:37:11,9602B,PROTHESE ONGULAIRE SANS MANUCURE,01P,M,99,
J00010026250,2022-03-31 19:34:13,4791A,ACTIVITE DE BROCANTE EN LIGNE  AVEC PARTICIPATION OCCASSIONNELLE AUX FOIRES  BROCANTE  VIDE GRENIERS   ,01P,C,99,
J00010033926,2022-04-05 19:32:47,8551Z,COURS DE YOGA,01P,X,,
J00010041358,2022-04-10 03:32:12,5320Z,LIVRAISON DE REPAS A DOMICILE A VELO,01P,C,99,
J00010036069,2022-04-06 19:34:01,4540Z,VENTE DE PIECES MOTO ET CONSOMMABLES   HUILES  FREINAGE  ROUES  PNEUS  GUIDON  POIGNEES  MOTEUR  FOURCHES  ECHAPPEMENT  AMORTISSEUR  SELL,01P,C,10,
J00010039873,2022-04-09 03:55:08,8299Z,PRESTATIONS DE SERVICES,01P,X,,
J00010022283,2022-04-01 03:43:40,8299Z,DELIVRER DES PRESTATIONS DE SERVICES AUPRES DE CABINETS D AVOCATS  NOTAMMENT DANS LE DOMAINE DE LA PROPRIETE INTELLECTUELLE ,01P,X,,
J00010046266,2022-04-12 19:35:39,8211Z,SECRETARIAT ET ASSISTANCE JURIDIQUE,01P,X,,
J00010040483,2022-04-09 03:57:48,9609Z,PRESTATION D EDUCATION CANINE  DE COMPORTEMENTALISME CANIN ,01P,M,99,
J00010019529,2022-04-13 09:39:43,4791B,ACHAT REVENTE D OBJETS D OCCASION NOTAMMENT LIVRES,01P,C,99,
J00010041416,2022-04-10 08:31:20,7021Z,COMMUNICATION  DA,01P,X,,
J00010038826,2022-04-12 19:36:20,6820A,LOCATION MEUBLEE NON PROFESSIONNELLE A L ADRESSE 62 AVENUE GABRIEL PERI,05P,I,,
J00010029866,2022-04-04 03:39:00,8129A,SOCIETE DE DESTRUCTION DE GUEPES FRELONS MOUSTIQUES ET DERATISATION CONTROLE DE NUISIBLE A L AIDE DE BIOCIDE OU TRAITEMENT MECANIQUE,01P,M,99,
J00010023729,2022-03-30 19:59:34,4511Z,ACHAT VENTE DE VEHICULES D OCCASION,01P,C,99,
J00010028546,2022-04-02 11:31:24,3109B,FABRICATION DE BIENS D AMEUBLEMENT,05P,M,04,
J00010024636,2022-03-31 03:34:58,5320Z,LIVRAISON DE REPAS EN PARTENARIAT AVEC UBER EAT A DOMICILE,01P,C,99,
J00010025989,2022-03-31 19:33:53,8121Z,PETITS TRAVAUX ET BRICOLAGE,01P,M,14,
J00010038123,2022-04-08 04:12:40,5912Z,CADRAGE ET MONTAGE DE VIDEOS,01P,X,,
J00010041697,2022-04-10 19:31:34,6820A,LOCATION MEUBLE,01P,I,,
J00010036143,2022-04-06 19:34:07,4791A,VENTE EN LIGNE D ARTICLES DE SECONDE MAIN  VETEMENTS  ACCESSOIRES  DECORATION ,05P,C,99,
J00010012011,2022-03-15 19:36:03,9609Z,PRATIQUE DE SHIATSU SUR LES CHEVAUX  CHIENS  CHATS ET AUTRES ANIMAUX,01P,X,,
J00010026029,2022-03-31 19:33:57,8219Z,SECRETARIAT ,01P,M,99,
J00010039543,2022-04-11 19:33:01,6831Z,AGENT COMMERCIAL IMMOBILIER INDEPENDANT,01P,R,,
J00010028967,2022-04-03 03:32:25,4399C,TRAVAUX DE MACONNERIE DANS LE SECOND OEUVRE,01P,M,14,
J00010024586,2022-03-31 03:34:53,4520A,MISE AU POINT MOTEUR ET REPROGRAMMATION   AUTOMOBILES PL TP AGRICOLE  ,01P,M,99,
J00010022309,2022-03-29 19:32:54,4511Z,ACHAT  VENTE AUTOMOBILES OCCASION,01P,C,99,
J00010039550,2022-04-08 19:33:04,8130Z,SERVICE D AMENAGEMENT PAYSAGER   HOMME TOUTES MAINS   ENTRETIEN DE JARDIN   NETTOYAGE EXTERIEUR,01P,M,99,
J00010014561,2022-03-20 03:38:16,9609Z,ENERGETIQUE TRADITIONNELLE CHINOISE   ACUPUNCTURE  METHODE SYNERGIE  ACUPUNCTURE SPORTIVE   MASSAGE ENERGETIQUE TUINA  CHI NEI TSANG,05P,X,,
J00010014421,2022-03-19 19:31:27,9609Z,ETABLISSEMENT DETAILLE DES ENTRAINEMENTS DES CLIENTS EN FONCTIONS DE LEURS OBJECTIFS  PERTE DE POIDS     ,01P,X,,
J00010043073,2022-04-11 19:33:19,5320Z,JE CREE MA MICRO ENTREPRISE AFIN DE FAIRE UBER EAT,01P,C,99,
J00010043263,2022-04-11 19:33:31,6831Z,AGENT COMMERCIAL IMMOBILIER,01P,R,,
J00010043743,2022-04-11 19:33:43,4942Z,COURTIER EN DEMENAGEMENT,01P,X,,
J00010010601,2022-03-13 19:31:40,4791B,VENTE EN LIGNE D ECUSSONS ET DE PATCHS EN TISSU ,01P,C,99,
J00010029213,2022-04-03 03:32:34,8219Z,SECRETAIRE FREELANCE  A MON DOMICILE  SAISI DE TEXTE  REALISATION DE DEVIS  FACTURES  CONTRATS    POUR LES ARTISANS DU BATIMENTS EN PRIO,01P,M,99,
J00010025740,2022-03-31 19:33:00,7420Z,PHOTOGRAPHIE DE PORTRAIT  CULINAIRE  LIFESTYLE,01P,M,99,
J00010043883,2022-04-11 19:33:47,7022Z,CONSEILS EN MARKETING,01P,L,,
J00010034023,2022-04-11 19:34:08,5912Z,SERVICES DE MONTAGE ET MIXAGE AUDIOVISUELS,01P,X,,
J00010026219,2022-04-01 10:14:21,4799A,DEPOT VENTE DE ROBES DE MARIEE ET ACCESSOIRES DE MARIAGE A MON DOMICILE,,C,10,
J00010030500,2022-04-05 15:51:15,8299Z,PRESTATION DE SERVICES,54P,M,99,
J00010036986,2022-04-07 19:34:51,5621Z,REALISATION DE PRESTATIONS CULINAIRES POUR DES ENTREPRISES INDIVIDUELLES  RESIDENCES  REMPLACEMENT D UN SALARIE     ,01P,C,99,
J00010030930,2022-04-05 11:32:10,4619B,APPORTEUR D AFFAIRES,01P,C,99,
J00010030260,2022-04-04 19:33:12,6202A,CONSEIL SUR L ORGANISATION DE L ENTREPRISE ET SUR SA STRUCTURATION INFORMATIQUE  CONSULTING EN QUALITE ET CREATION D OUTIL INFORMATIQUE ,01P,X,,
J00010022556,2022-03-29 19:33:13,8299Z,MISE EN RELATION ENTRE RESTAURANT TRAITEUR ET DIFFERENTS POINTS DE VENTE POUR FACILITER LA RESTAURATION,01P,C,99,
J00010017101,2022-03-23 19:35:53,4791B,BOUTIQUE EN LIGNE DE SOIN POUR LA PEAU,01P,C,99,
J00010038636,2022-04-08 19:32:46,4791B,FABRICATION ET COMMERCIALISATION DE BOUGIES AUX HUILES ESSENTIELLES  CIRES VEGETALES OU MINERALES ET ADDITIFS ,01P,C,99,
J00010039246,2022-04-08 19:32:56,8690F,NATUROPATHIE  ETABLISSEMENT DE BILANS PERSONNALISES ET CONSEILS VISANT AU BIEN ETRE AVEC SUPPORT PDF OU PAPIER ,01P,X,,
J00010015741,2022-03-22 19:34:38,9609Z,THERAPEUTE EN REIKI,01P,X,,
J00010027670,2022-04-01 19:32:41,8559A,FORMATION CONTINUE THEATRE  TRAVAIL SOCIAL ET LANGUES ,01P,X,,
J00010023869,2022-03-30 20:03:00,4649Z,ACHAT ET REVENTE DE LIVRES  BD  MANGAS D OCCASION SUR INTERNET  EN BROCANTE  EN VIDE GRENIER  SUR LES MARCHES,01P,C,99,
J00010039816,2022-04-08 19:33:22,9329Z,ANIMATION,05P,X,,
J00010038107,2022-04-08 04:12:37,6831Z,TRANSACTIONS IMMOBILIERES,01P,C,99,
J00010015881,2022-03-22 19:34:57,9329Z,CONSEIL ET OU COORDINATION D EVENEMENTS   MARIAGE  PACS  DEMANDE EN MARIAGE  BABY SHOWER  PRIVES  COMMERCANTS ET PETITES ENTREPRISES,05P,X,,
J00010034080,2022-04-06 03:37:54,7410Z,WEBDESIGN  CREATION DE SITE INTERNET  DE LOGO  ET VISUELS PERSONNALISEE,05P,L,,
J00010025823,2022-03-31 19:33:05,5320Z, REALISATION DE LIVRAISON D UN POINT A A UN POINT B ,05P,C,99,
J00010034403,2022-04-06 03:38:03,4765Z,COMMERCE DE JEUX DE CARTES  JOUETS ET OBJETS DE COLLECTION,01P,C,99,
J00010038032,2022-04-08 04:12:34,8299Z,PRESTATION DE SERVICE,01P,C,99,
J00010030799,2022-04-06 19:33:14,7410Z,ACTIVITE DE RETOUCHE D IMAGES PAR LE BIAIS DE LOGICIELS GRAPHIQUES ,01P,X,,
J00010035509,2022-04-06 19:33:17,4520A,NETTOYAGE DE VEHICULE,01P,X,,
J00010025526,2022-03-31 19:32:49,7410Z,DECORATION  RENOVATION  PEINTURE ET NETTOYAGE ,01P,M,99,
J00010037646,2022-04-07 19:35:32,9329Z,PRESTATION DE SERVICE D ANIMATION MUSICALE CONSISTANT A DIFFUSER DE LA MUSIQUE AVEC MON PROPRE MATERIEL DANS TOUS LIEUX ,01P,X,,
J00010019693,2022-03-29 19:33:47,9001Z,CREATION  PRODUCTION ET DIFFUSION DE PROJETS ARTISTIQUES ET CULTURELS  SPECTACLES VIVANTS  EVENEMENTS DIVERS  ATELIERS ET FORMATIONS ,01P,X,,
J00010044790,2022-04-12 03:37:14,6202A,PRESTATION DE SERVICES AUX ENTREPRISES EN TANT QUE CHEF DE PROJET INDEPENDANT SUR DES PROJETS INFORMATIQUES ET DIGITAUX ,01P,X,,
J00010028140,2022-04-02 03:38:26,7410Z,DESIGN DE VETEMENTS ET VENTE EN LIGNE DE VETEMENTS ET ACCESSOIRES,01P,C,99,
J00010014611,2022-03-20 19:31:28,9609Z,THERAPEUTE MAITRE PRATICIEN EN PROGRAMMATION NEURO LINGUISTIQUE  PNL  ET PRATICIEN EN HYPNOSE ERICKSONIENNE  COACH PROFESSIONNEL CERTIFIE,01P,X,,
J00010018141,2022-03-25 11:33:07,9602B,POSE DE FAUX ONGLES   POSE DE GEL   POSE DE SEMI PERMANENT,01P,M,99,
J00010032746,2022-04-05 11:32:14,7021Z,COMMUNITY MANAGEMENT  STRATEGIE  CREATION DE CONTENUS  MODERATION  REPORTING  CAMPAGNES PUB    INGENIERIE PEDAGOGIQUE  CREATION DE CON,05P,X,,
J00010021616,2022-03-29 11:32:27,6820A,LOCATION MEUBLEE NON PROFESSIONNEL SAISONNIER,01P,I,,
J00010015931,2022-03-23 03:34:41,6619B,IMMO IOBSP,01P,X,,
J00010028520,2022-04-04 07:52:52,1413Z,CREATION DE COUTURE  RETOUCHES  SUR COMMANDE OU SUR STOCK  TRANSFORMATION DE PRODUITS DE COUTURE  CREATIONS ARTISANALES DE MACRAME,,M,04,
J00010035939,2022-04-06 19:33:55,3213Z,FABRICATION ET VENTES DE BIJOUX FANTAISIE,01P,M,04,
J00010037737,2022-04-08 15:10:54,8559B,FORMATEUR INDEPENDANT EN LANGUES  ANGLAIS  ,54P,X,,
J00010009041,2022-03-12 19:31:41,7420Z,REALISATION DE PRISES DE VUES PHOTOGRAPHIQUES ET FILMS PAT DRONE TELEPILOTE,01P,X,,
J00010019800,2022-04-03 03:32:30,5320Z,PRESTATIONS DE SERVICES VISANT LA DELIVRANCE DE BIENS A DESTINATION D UNE CLIENTELE VIA L UTILISATION D UN MOYEN DE TRANSPORT,01P,X,,
J00010036283,2022-04-14 03:39:08,8129A,EXTERMINATION DE NID DE FRELON ET DE GUEPES ,01P,X,,
J00010050193,2022-04-14 03:39:12,5912Z,DETECTION ET ADAPTATION DE CONTENUS CINEMATOGRAPHIQUES ET OU AUDIOVISUELS EN VUE DE LA CREATION D UNE VERSION FRANCAISE  VF  ,01P,X,,
J00010037810,2022-04-08 07:00:29,4791A,VENTE EN LIGNE,54P,C,99,
J00010030906,2022-04-06 11:31:40,6201Z,MINAGE D ACTIFS NUMERIQUES  PARTICIPATION A LA CREATION ET AU FONCTIONNEMENT DE SYSTEME D  UNITE DE COMPTE VIRTUELLE,01P,X,,
J00010039253,2022-04-11 08:10:33,8299Z,PRESTATION DE SERVICE,54P,X,,
J00010022986,2022-03-30 03:56:40,8559A,FORMATEUR EN MARKETING DIGITAL ET COMMUNITY MANAGEMENT,01P,X,,
J00010044766,2022-04-12 03:37:11,1392Z,FABRICATION DE DIVERS ARTICLES EN TEXTILE  DECOUPE DU TISSU  COUTURE  MISE EN AVANT SUR RESEAUX SOCIAUX ET SITES INTERNET,01P,M,04,
J00010045136,2022-04-12 03:37:23,2349Z,COULAGE  MODELAGE  EMAILLAGE DE FAIENCERIE ARTISANALE,01P,M,04,
J00010037976,2022-04-08 04:12:32,5320Z,LIVRAISON UBER EATS,01P,M,99,
J00010038222,2022-04-08 04:16:07,5320Z,LIVRAISON DE REPAS A DOMICILE,01P,X,,
J00010044998,2022-04-13 03:41:57,4321A,ELECTRICITE GENERALE,01P,M,99,
J00010047678,2022-04-13 03:41:59,9602B,MANUCURE,01P,M,99,
J00010029346,2022-04-04 10:53:44,8121Z,HOMME TOUTES MAINS,01P,M,99,
J00010047652,2022-04-13 03:41:56,3109B,TAPISSERIE  COUTURE D AMEUBLEMENT  DECORATION  POSE ET VENTE A L ATELIER OU A DOMICILE CHEZ LE CLIENT ,01P,M,04,
J00010038172,2022-04-13 03:42:01,5320Z,LIVRAISON EN VELO,01P,C,99,
J00010044576,2022-04-12 03:37:07,7022Z,CONSULTANT EN MISSIONS PONCTUELLES,01P,X,,
J00010044626,2022-04-12 03:37:09,4771Z,VENTE DE VETEMENTS ET ACCESSOIRES DE MODE,01P,C,99,
J00010026136,2022-03-31 19:34:02,8121Z,PETITS TRAVAUX MULTI SERVICES,01P,X,,
J00010041937,2022-04-09 19:31:45,7490B,EXPERTISES SCIENTIFIQUES,01P,X,,
J00010031219,2022-04-04 19:34:01,8211Z,ASSISTANTE ADMINISTRATIVE  COMPTABLE  COMMERCIALE  GESTIONNAIRE DE PAIE INDEPENDANTE,01P,M,99,
J00010015071,2022-03-22 10:07:52,6201Z,DEVELOPPEMENT INFORMATIQUE BACK END  CONSEIL EN ARCHITECTURE DE SYSTEMES D INFORMATIONS  CONCEPTION DE DISPOSITIFS DE TRAITEMENT DE DONNE,01P,L,,
J00010023190,2022-03-30 03:59:19,8121Z,HOMME TOUTES MAINS   PETIT BRICOLAGE ET PETIT JARDINAGE,01P,M,14,
J00010023240,2022-03-30 03:59:23,6831Z,ACTIVITES IMMOBILIERES POUR LE COMPTE DE TIERS   CODE APE 68 31 Z  OU AUTRES INTERMEDIAIRES DU COMMERCE EN PRODUITS DIVERS  CODE APE 4619,01P,C,99,
J00010025559,2022-03-31 19:32:52,7022Z,CONSEIL AUX ENTREPRISES,01P,C,99,
J00010014801,2022-03-21 11:32:17,7022Z,CONSEIL  AUX ENTREPRISES OU INSTITUTIONS DANS LES SECTEURS MARITIMES ET LAGUNAIRE ET DANS  DOMAINE DE LA FORMATION PROFESSIONNELLE,01P,X,,
J00010028959,2022-04-03 03:32:26,4613Z,INTERMEDIAIRE DU COMMERCE EN BOIS ET MENUISERIE  FABRICATION ET REPARATION ,05P,M,04,
J00010036176,2022-04-07 03:44:57,4511Z,ACHAT VENTE LOCATION DE VEHICULES,01P,C,99,
J00010021046,2022-03-29 09:18:41,8899B,ACCOMPAGNEMENT PEDAGOGIQUE D ELEVES A BESOINS EDUCATIFS PARTICULIERS   GUIDANCE PARENTALE AVEC ENFANT EN SITUATION DE HANDICAP,01P,X,,
J00010037950,2022-04-08 04:12:31,9604Z,MASSAGES BIEN ETRE DU CORPS ET DU VISAGE  DESTINEE AUX FEMMES  QI PEUT ETRE REALISE A PARTIR D HUILE DE MASSAGE OU DE BOUGIE DE MASSAG,01P,X,,
J00010026003,2022-03-31 19:33:55,9529Z,RETOUCHES DE VETEMENTS ET PERSONNALISATION DE VETEMENTS,05P,M,04,
J00010022960,2022-03-30 03:56:46,4321A,INSTALLATION NEUVE OU RENOVATION ELECTRIQUE PARTICULIERS ET TERTIAIRE EN BASSE TENSION,01P,M,14,
J00010028108,2022-04-05 10:39:04,8219Z,SECRETAIRE INDEPENDANTE,54P,M,99,
J00010007581,2022-03-11 19:32:55,6920Z,PRESTATION DE SERVICE DANS LES DOMAINES DE LA COMPTABILITE  LE CONTROLE DE GESTION ET LA FINANCE ,01P,X,,
J00010023646,2022-03-30 11:31:40,7022Z,CONSEIL EN CREATION DE SOCIETE  CONSEIL ET SERVICES ADMINISTRATIF AUX ENTREPRISES,05P,M,99,
J00010037000,2022-04-07 19:34:54,6820A,LMNP APPARTEMENT LOCATION BAYARD,01P,I,,
J00010023216,2022-03-30 03:59:24,0113Z,PRODUCTION ET LA VENTE DE CHAMPIGNONS DE CULTURE ET DE FORET,01P,C,,
J00010022473,2022-03-29 19:33:09,1629Z,SCULPTEUR SUR BOIS  JE TRAVAILLE LE BOIS BRUT  JE LE RABOTE  LE SCIE  LE PONCE  LE SCULPTE ET ENFIN LE CIRE OU LE LAZURE AVANT DE LE VENDRE ,05P,M,04,
J00010031268,2022-04-04 19:34:03,9602B,PRESTATION D ESTHETICIENNE A DOMICILE  EPILATION  SOIN VISAGE  MANUCURE    PRESTATION DE MASSAGE,01P,M,99,
J00010034106,2022-04-07 19:35:28,8690F,SOINS EN SENTI ENERGETIQUE,01P,X,,
J00010023026,2022-03-30 03:56:43,7410Z,CONCEPTION GRAPHIQUE   CREATION ET REALISATION DE CHARTES GRAPHIQUES  DE LOGOS ET TOUS SUPPORTS DE COMMUNICATION ,01P,X,,
J00010031458,2022-04-04 19:34:08,6820A,LOCATION MEUBLEE PROFESSIONNEL,01P,I,,
J00010035186,2022-04-06 19:33:00,9529Z,REPARATION DE PIANOS   ACCORD  CHANGEMENT DES PARTIES ET COMPOSANTES  REPARATION MECANIQUE ,01P,M,99,
J00010012151,2022-03-18 03:35:12,1814Z,RENOVATION DE LIVRES D OCCASION,01P,X,,
J00010024628,2022-03-31 03:34:57,8121Z,NETTOYAGE BATIMENT ET CHANTIER,01P,M,99,
J00010032050,2022-04-07 19:34:50,0311Z,MARIN PECHEUR NON SALARIE,01P,X,,
J00010024560,2022-03-31 03:34:51,7112B,INGENIEURE METHODES COORDINATRICE TRANSPORTS   LOGISTIQUE,05P,X,,
J00010022606,2022-03-29 19:33:42,9003B,CREATION HISTOIRES ET CONTES,05P,M,99,
J00010035293,2022-04-06 19:33:09,9511Z,REPARATION ET MAINTENANCE INFORMATIQUE CHEZ LES PARTICULIERS,05P,C,99,
J00010018653,2022-04-06 19:33:23,9604Z,MASSAGES BIEN ETRE A DOMICILE,01P,C,99,
J00010012631,2022-03-17 03:36:44,7420Z,PRESTATIONS DE PHOTOGRAPHIE PRISE DE VU RETOUCHE PHOTOS POUR DES PROJETS DE PORTRAIT ARCHITECTURE EVENEMENTS ET DE PACK SHOT,01P,X,,
J00010013241,2022-03-18 03:35:15,9609Z,EDUCATEURSPORTIF INITIATION A LA PRATIQUE DU ROLLER REMISE EN FORME  ANIMATION SPORTIF ET SOCIAL,01P,X,,
J00010049039,2022-04-13 19:32:21,4619B,AGENT COMMERCIAL,01P,C,99,
J00010027399,2022-04-01 19:32:17,4791B,VENTE DE SITE INTERNET VITRINE ET E COMMERCE ET TOUS SERVICES DIGITAUX S Y RAPPROCHANT ,01P,C,99,
J00010036093,2022-04-06 19:34:03,8121Z,NETTOYAGE DES LOCAUX,01P,X,,
J00010023919,2022-03-31 12:39:06,9601B,REPASSAGE A DOMICILE,05P,X,,
J00010027639,2022-04-01 19:32:39,8230Z,ORGANISATION D EVENEMENTS,01P,X,,
J00010023786,2022-03-30 20:02:55,7022Z,CONSEILLER LES PARTICULIERS ET LES ENTREPRISES DANS LE SECTEUR DES RESSOURCES HUMAINES  DE L ORGANISATION GENERALE ET DE LA RELATION CLIEN,01P,X,,
J00010049369,2022-04-13 19:32:55,8130Z,ENTRETIEN DES ESPACES VERTS,01P,X,,
J00010050029,2022-04-13 19:33:15,5030Z,PILOTAGE DE BATEAU FLUVIAUX,05P,M,99,
J00010042430,2022-04-11 19:32:48,4520A,MECANICIEN AUTOMOBILE A DOMICILE,01P,M,99,
J00010042570,2022-04-11 19:32:54,5320Z,LIVREUR DE REPAS  SANS PREPARATION ,01P,C,99,
J00010037406,2022-04-07 19:35:21,7410Z,MON ACTIVITES CONSISTE A EFFECTUER DE LA DECORATION INTERIEUR ET OU EXTERIEUR VIA DE LA CREATION ,01P,X,,
J00010037596,2022-04-07 19:35:31,6619B,CONSEIL EN GESTION DE PATRIMOINE  INTERMEDIAIRES EN OPERATIONS DE BANQUE ET SERVICES DE PAIEMENT  MIA  AGENT LIE,01P,C,99,
J00010037786,2022-04-07 19:35:35,7022Z,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION ,01P,L,,
J00010037836,2022-04-07 19:35:37,0240Z,TRAVAUX FORESTIER,01P,C,,
J00010034056,2022-04-07 19:35:40,8130Z,ENTRETIEN DES PARCS ET JARDINS   TONTE  DEBROUSSAILLAGE  TAILLE DES VEGETAUX ,01P,C,99,
J00010041960,2022-04-11 03:33:31,4791B,COMMERCE DE POTS  PLANTES ET DECORATIONS D EXTERIEUR ,01P,C,99,
J00010047900,2022-04-13 03:42:09,4779Z,DEPOT VENTE DE VETEMENTS D OCCASION POUR ENFANTS,01P,C,99,
J00010022416,2022-03-29 19:33:06,4334Z,PREPARATION DU SUPPORT   LESSIVAGE  ENDUIT PONCAGE  PEINTURE SOUS COUCHE    CREATION ET APPLICATION DE PEINTURES ET ENDUITS DECORATIFS ,01P,X,,
J00010058337,2022-04-17 19:31:28,4789Z,VENTES DE MARCHANDISES NON REGLEMENTEES VIA UNE BOUTIQUE ECOMMERCE  VENTE D EQUIPEMENT POUR PERSONNES AYANT DES PROBLEMES MUSCULAIRE ,05P,C,99,
J00010058352,2022-04-17 19:31:29,5320Z,UBER EAT,01P,C,99,
J00010058378,2022-04-17 19:31:31,4791A,DECLARATION D AUTO ENTREPRENEUR POUR DEVENIR VENDEUR SUR AMAZON FBA ,01P,C,99,
J00010058428,2022-04-17 19:31:35,1393Z,TAPISSERIE  DECORATION  LITERIE  MATELASSERIE  RENOVATION DE MEUBLES  ACHAT REVENTE ET POSE A L ATELIER OU AU DOMICILE DES CLIENTS,05P,M,04,
J00010030823,2022-04-05 04:08:35,5320Z,LIVRAISON DE REPAS UBER EAT,01P,C,99,
J00010017051,2022-03-23 19:35:44,6910Z,CONSULTATIONS JURIDIQUES AUTORISEES EN TANT QUE PROFESSEUR DE DROIT,05P,X,,
J00010043230,2022-04-11 19:33:25,8121Z,SERVICES PERSONNELS   PETITS BRICOLAGES  ENTRETIENS  PETITE MACONNERIE    ,05P,X,,
J00010043750,2022-04-11 19:33:41,7410Z,ACTIVITES DE DESIGN   PUBLICITES  ILLUSTRATIONS  IDENTITE D ENTREPRISE  LOGOS ET MARQUES COMMERCIALES  DESIGN GRAPHIQUE DE SITES INTERNET,01P,C,04,
J00010099877,2022-05-03 09:29:50,5320Z,COURSIER LIVREUR A DOMICILE,01P,C,99,
J00010079358,2022-04-26 19:34:24,9602A,COIFFEUSE ESTHETICIENNE A DOMICILE,01P,M,99,
J00010072197,2022-04-23 11:31:30,8129A,PREVENTION ET DESTRUCTION NIDS DE GUEPES ET FRELONS,01P,M,99,
J00010082527,2022-04-27 19:33:39,7022Z,CONSULTING EN GESTION DE CLIENTELE  GESTION DE PRODUCTION AUDIOVISUELLE ET GESTION TECHNIQUE,01P,X,,
J00010097772,2022-05-02 19:33:00,8299Z,OPTIMISATION DE PROJET  DEVELOPPEMENT D IDEE  FABRICATION  ACHAT  VENTE  REVENTE  TRANSFORMATION  COMMUNICATION  MARKETING,05P,X,,
J00010059558,2022-04-19 11:31:40,7022Z,CONSEIL AUX ENTREPRISES,01P,X,,
J00010068518,2022-04-22 13:40:29,8121Z,ACTIVITE DE MENAGE,01P,X,,
J00010056042,2022-04-26 03:45:23,4332A,L ACTIVITE EST LA POSE ET L AGENCEMENT DE MENUISERIE BOIS PVC SUR CHANTIER ,05P,M,14,
J00010044030,2022-04-11 19:33:58,6831Z,AGENT COMMERCIAL IMMOBILIER,05P,R,,
J00010015691,2022-03-23 09:36:34,7410Z,CONSEILS EN DECORATION  INTERVENTION A DOMICILE  AVEC NUANCIER ET CATALOGUE DE STYLES DECORATIFS ,01P,X,,
J00010097517,2022-05-02 19:32:49,7410Z,DECORATION D INTERIEUR ET HOME STAGING   CONSEIL EN DECORATION ET AMENAGEMENT  PLAN D AMENAGEMENT EN 2D  VISUALISATION EN 3D,01P,X,,
J00010092468,2022-04-29 19:36:02,9003A,PRODUCTION D ILLUSTRATION,01P,X,,
J00010092757,2022-05-02 16:56:15,4334Z,PEINTURE DECORATIVE  REFECTION APPARTEMENTS ,05P,M,14,
